cid	len
376	155
1003	192
1236	187
1306	186
1512	217
1600	183
1695	193
1869	186
1959	355
2559	308
2751	284
2782	214
2883	397
3475	299
3834	243
3846	244
3968	235
3982	260
4184	304
4220	199
4305	200
4342	202
4360	175
4412	181
5171	220
5175	242
5210	341
5335	184
5344	202
5499	187
5525	192
5574	264
5608	270
5778	260
5817	454
6460	262
6483	252
6561	193
6620	171
6867	187
6899	219
6909	187
7028	174
7419	193
7789	418
8038	202
8405	250
8459	196
8594	221
8628	278
8848	202
8888	204
9123	197
9169	542
9283	216
9555	89
10540	196
10736	141
11586	177
11912	170
11930	183
12074	211
13548	241
13686	251
13771	233
13831	207
14346	187
14436	187
14709	208
15465	187
16024	212
16042	192
16080	276
16146	199
16391	223
16737	324
17251	190
17327	205
17374	203
17854	206
17936	352
17965	225
17968	502
18186	184
18296	321
18540	262
19063	182
19139	175
19272	212
19471	257
19580	199
20071	319
20413	214
20492	177
20858	171
21199	187
21531	187
21581	226
21637	264
21646	205
21696	180
21914	318
21960	403
22103	180
22143	218
22449	658
22750	174
22872	633
22873	1721
23020	217
23121	308
23720	210
24063	245
24738	193
24940	217
24950	559
24964	189
25157	184
25281	199
25294	200
25325	168
25519	190
25631	202
25740	1310
25847	229
25985	188
25995	193
26013	344
26028	492
26050	189
26060	181
26114	190
26253	111
26254	471
26300	208
26301	226
26373	181
26444	190
26594	286
26666	194
26714	180
26736	360
26747	201
26785	237
26878	267
26900	211
26904	201
26971	332
26996	227
27002	205
27137	193
27202	211
27272	181
27345	183
27413	298
27701	204
27928	187
28006	300
28320	379
28435	646
28461	285
28476	188
28705	345
28842	196
28897	241
28962	291
29085	219
29126	193
29181	223
29682	198
29908	203
29966	317
30300	388
30545	174
31018	216
31112	319
31145	549
31247	175
31679	299
32194	237
32264	190
32955	414
33426	251
33551	209
33983	186
34046	193
34076	193
34159	194
34247	266
34811	184
34899	182
35106	222
35177	195
35436	205
35673	257
35776	232
35785	214
35856	257
36086	151
36251	242
36364	187
36402	253
36427	189
36826	199
36924	298
36926	186
36930	302
37085	217
37193	187
37204	557
37333	211
37455	174
37556	406
38153	244
38322	338
38400	215
38410	243
38619	208
38767	187
38966	229
39232	307
39504	204
39512	203
40644	185
40742	186
41106	242
41571	174
42283	156
43351	391
44149	180
44223	200
44254	174
44255	226
44272	175
44359	187
44459	205
44508	174
44536	178
44548	193
44581	198
44594	176
44619	229
44623	193
44634	297
44636	294
44814	421
44815	321
44952	224
45001	253
45114	190
45329	168
45434	176
45621	324
46113	269
46477	215
46806	202
46825	187
46933	196
47268	400
47740	179
49114	174
49177	183
49254	74
49428	254
49792	225
49800	189
50480	193
50523	194
51600	131
53606	193
53617	226
