id	type	parent_id	name_cn	name_en	alias	is_abroad	is_world_known	school_type	is_double_first	education_type	province	city	is_985
102982	0	0	ABC联邦大学	Federal University of ABC (UFABC)		1	0	NULL	0	NULL	NULL	NULL	0
105232	0	0	LEC东京法律思维大学			1	0	NULL	0	NULL	NULL	NULL	0
104244	0	0	LEC东京职业发展大学			1	0	NULL	0	NULL	NULL	NULL	0
105334	0	0	Pontifícia里约热内卢天主教大学	Pontifical Catholic University of Rio de Janeiro		1	0	NULL	0	NULL	NULL	NULL	0
104995	0	0	PSG理工学院	PSG College of Technology		1	0	NULL	0	NULL	NULL	NULL	0
105336	0	0	Universite libre de Bruxelles	Free University of Brussels		1	0	NULL	0	NULL	NULL	NULL	0
104629	0	0	一桥大学	Hitotsubashi University		1	0	NULL	0	NULL	NULL	NULL	0
100722	0	0	七台河职业学院			0	0	高职类	0	专科	黑龙江	七台河市	0
105002	0	0	万隆理工学院	Bandung Institute of Technology (ITB)		1	0	NULL	0	NULL	NULL	NULL	0
103586	0	0	三一学院	Trinity College 		1	0	NULL	0	NULL	NULL	NULL	0
105583	0	0	三亚中瑞酒店管理职业学院			0	0	高职类	0	民办(专科)	海南	三亚市	0
102247	0	0	三亚城市职业学院			0	0	高职类	0	民办(专科)	海南	三亚市	0
102245	0	0	三亚学院			0	0	综合类	0	民办(本科)	海南	三亚市	0
102256	0	0	三亚理工职业学院			0	0	高职类	0	民办(专科)	海南	三亚市	0
102254	0	0	三亚航空旅游职业学院			0	0	高职类	0	民办(专科)	海南	三亚市	0
101763	0	0	三峡大学			0	0	综合类	0	本科	湖北	宜昌市	0
101852	0	0	三峡大学科技学院			0	0	理工类	0	独立学院	湖北	宜昌市	0
101829	0	0	三峡旅游职业技术学院			0	0	高职类	0	专科	湖北	宜昌市	0
101825	0	0	三峡电力职业学院			0	0	高职类	0	专科	湖北	宜昌市	0
101307	0	0	三明医学科技职业学院		三明职业技术学院	0	0	高职类	0	专科	福建	三明市	0
101262	0	0	三明学院			0	0	综合类	0	本科	福建	三明市	0
