cik,company_name,taxonomy,concept,unit,value,start_date,end_date,accn,fy,fp,form,filed_date,frame
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,895816758.0,,2009-06-27,0001193125-09-153165,2009,Q3,10-Q,2009-07-22,CY2009Q2I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,900678473.0,,2009-10-16,0001193125-09-214859,2009,FY,10-K,2009-10-27,
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,900678473.0,,2009-10-16,0001193125-10-012091,2009,FY,10-K/A,2010-01-25,CY2009Q3I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,906794589.0,,2010-01-15,0001193125-10-012085,2010,Q1,10-Q,2010-01-25,CY2009Q4I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,909938383.0,,2010-04-09,0001193125-10-088957,2010,Q2,10-Q,2010-04-21,CY2010Q1I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,913562880.0,,2010-07-09,0001193125-10-162840,2010,Q3,10-Q,2010-07-21,CY2010Q2I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,917307099.0,,2010-10-15,0001193125-10-238044,2010,FY,10-K,2010-10-27,CY2010Q3I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,921278012.0,,2011-01-07,0001193125-11-010144,2011,Q1,10-Q,2011-01-19,CY2010Q4I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,924754561.0,,2011-04-08,0001193125-11-104388,2011,Q2,10-Q,2011-04-21,CY2011Q1I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,927090886.0,,2011-07-08,0001193125-11-192493,2011,Q3,10-Q,2011-07-20,CY2011Q2I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,929409000.0,,2011-10-14,0001193125-11-282113,2011,FY,10-K,2011-10-26,CY2011Q3I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,932370000.0,,2012-01-13,0001193125-12-023398,2012,Q1,10-Q,2012-01-25,CY2011Q4I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,935062000.0,,2012-04-13,0001193125-12-182321,2012,Q2,10-Q,2012-04-25,CY2012Q1I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,937406000.0,,2012-07-13,0001193125-12-314552,2012,Q3,10-Q,2012-07-25,CY2012Q2I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,940692000.0,,2012-10-19,0001193125-12-444068,2012,FY,10-K,2012-10-31,CY2012Q3I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,939058000.0,,2013-01-11,0001193125-13-022339,2013,Q1,10-Q,2013-01-24,CY2012Q4I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,938649000.0,,2013-04-12,0001193125-13-168288,2013,Q2,10-Q,2013-04-24,CY2013Q1I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,908497000.0,,2013-07-12,0001193125-13-300670,2013,Q3,10-Q,2013-07-24,CY2013Q2I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,899738000.0,,2013-10-18,0001193125-13-416534,2013,FY,10-K,2013-10-30,CY2013Q3I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,891989000.0,,2014-01-10,0001193125-14-024487,2014,Q1,10-Q,2014-01-28,CY2013Q4I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,861381000.0,,2014-04-11,0001193125-14-157311,2014,Q2,10-Q,2014-04-24,CY2014Q1I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,5987867000.0,,2014-07-11,0001193125-14-277160,2014,Q3,10-Q,2014-07-23,CY2014Q2I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,5864840000.0,,2014-10-10,0001193125-14-383437,2014,FY,10-K,2014-10-27,CY2014Q3I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,5824748000.0,,2015-01-09,0001193125-15-023697,2015,Q1,10-Q,2015-01-28,CY2014Q4I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,5761030000.0,,2015-04-10,0001193125-15-153166,2015,Q2,10-Q,2015-04-28,CY2015Q1I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,5702722000.0,,2015-07-10,0001193125-15-259935,2015,Q3,10-Q,2015-07-22,CY2015Q2I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,5575331000.0,,2015-10-09,0001193125-15-356351,2015,FY,10-K,2015-10-28,CY2015Q3I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,5544583000.0,,2016-01-08,0001193125-16-439878,2016,Q1,10-Q,2016-01-27,CY2015Q4I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,5477425000.0,,2016-04-08,0001193125-16-559625,2016,Q2,10-Q,2016-04-27,CY2016Q1I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,5388443000.0,,2016-07-15,0001628280-16-017809,2016,Q3,10-Q,2016-07-27,CY2016Q2I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,5332313000.0,,2016-10-14,0001628280-16-020309,2016,FY,10-K,2016-10-26,CY2016Q3I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,5246540000.0,,2017-01-20,0001628280-17-000717,2017,Q1,10-Q,2017-02-01,CY2016Q4I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,5213840000.0,,2017-04-21,0001628280-17-004790,2017,Q2,10-Q,2017-05-03,CY2017Q1I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,5165228000.0,,2017-07-21,0000320193-17-000009,2017,Q3,10-Q,2017-08-02,CY2017Q2I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,5134312000.0,,2017-10-20,0000320193-17-000070,2017,FY,10-K,2017-11-03,CY2017Q3I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,5074013000.0,,2018-01-19,0000320193-18-000007,2018,Q1,10-Q,2018-02-02,CY2017Q4I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,4915138000.0,,2018-04-20,0000320193-18-000070,2018,Q2,10-Q,2018-05-02,CY2018Q1I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,4829926000.0,,2018-07-20,0000320193-18-000100,2018,Q3,10-Q,2018-08-01,CY2018Q2I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,4745398000.0,,2018-10-26,0000320193-18-000145,2018,FY,10-K,2018-11-05,CY2018Q3I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,4715280000.0,,2019-01-18,0000320193-19-000010,2019,Q1,10-Q,2019-01-30,CY2018Q4I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,4601075000.0,,2019-04-22,0000320193-19-000066,2019,Q2,10-Q,2019-05-01,CY2019Q1I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,4519180000.0,,2019-07-19,0000320193-19-000076,2019,Q3,10-Q,2019-07-31,CY2019Q2I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,4443265000.0,,2019-10-18,0000320193-19-000119,2019,FY,10-K,2019-10-31,CY2019Q3I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,4375480000.0,,2020-01-17,0000320193-20-000010,2020,Q1,10-Q,2020-01-29,CY2019Q4I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,4334335000.0,,2020-04-17,0000320193-20-000052,2020,Q2,10-Q,2020-05-01,CY2020Q1I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,4275634000.0,,2020-07-17,0000320193-20-000062,2020,Q3,10-Q,2020-07-31,CY2020Q2I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,17001802000.0,,2020-10-16,0000320193-20-000096,2020,FY,10-K,2020-10-30,CY2020Q3I
320193,Apple Inc.,dei,EntityCommonStockSharesOutstanding,shares,16788096000.0,,2021-01-15,0000320193-21-000010,2021,Q1,10-Q,2021-01-28,CY2020Q4I
